Metric,Value
design__max_cap_violation__count__corner:min_ss_125C_4v50,21
clock__skew__worst_hold__corner:min_ss_125C_4v50,-13.571602892308697
clock__skew__worst_setup__corner:min_ss_125C_4v50,-5.560598361377383
timing__hold__ws__corner:min_ss_125C_4v50,1.012852053118844
timing__setup__ws__corner:min_ss_125C_4v50,79.79862685391984
timing__hold__tns__corner:min_ss_125C_4v50,0.0
timing__setup__tns__corner:min_ss_125C_4v50,0.0
timing__hold__wns__corner:min_ss_125C_4v50,0
timing__setup__wns__corner:min_ss_125C_4v50,0.0
timing__hold_vio__count__corner:min_ss_125C_4v50,0
timing__hold_r2r__ws__corner:min_ss_125C_4v50,1.012852
timing__hold_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__setup_vio__count__corner:min_ss_125C_4v50,0
timing__setup_r2r__ws__corner:min_ss_125C_4v50,79.798630
timing__setup_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__unannotated_net__count__corner:min_ss_125C_4v50,144
timing__unannotated_net_filtered__count__corner:min_ss_125C_4v50,0
design__max_slew_violation__count__corner:min_ff_n40C_5v50,256
design__max_fanout_violation__count__corner:min_ff_n40C_5v50,0
design__max_cap_violation__count__corner:min_ff_n40C_5v50,19
clock__skew__worst_hold__corner:min_ff_n40C_5v50,-4.81875797348321
clock__skew__worst_setup__corner:min_ff_n40C_5v50,-1.988496978916531
timing__hold__ws__corner:min_ff_n40C_5v50,0.2842384186249243
timing__setup__ws__corner:min_ff_n40C_5v50,92.89174847807848
timing__hold__tns__corner:min_ff_n40C_5v50,0.0
timing__setup__tns__corner:min_ff_n40C_5v50,0.0
timing__hold__wns__corner:min_ff_n40C_5v50,0
timing__setup__wns__corner:min_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:min_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:min_ff_n40C_5v50,0.284238
timing__hold_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:min_ff_n40C_5v50,92.891747
